,X_-TACT_TIME_mean,X_-CONVEYOR_SPEED_mean,PUMP_high,PUMP_low,CLN1_over-etching-ratio,CLN1_EPT_time,clean_count,EPT_clean_count_ratio,NH3_TREAT_-RF_FREQ-max,NH3_TREAT_-RF_FREQ-range,NH3_TREAT_-RF_FREQ-mean,NP_3_-MFC_VOL_SIH4-range,VENT_high,VENT_low,Output
25098,170,3150,23546.33333,12252.24,0.003003755,11985,6,1997.5,13972,443,13665.3077,1,16880.24667,6281.475,0.7569025
27518,170,3150,57170.6,11419.875,0.00075,12000,7,1714.285714,13969,444,13654.9286,1,16103.99375,7627.363636,0.6210919
21734,140,3150,40211.21429,10387.74286,0.002305741,13011,2,6505.5,13965,433,13640.25,1,15401.08824,7644.32,0.8239958
30296,170,3150,67746.43333,12625.12,0.008502126,11997,6,1999.5,13974,443,13643.75,1,16739.675,7288.381818,0.5315367
11445,150,3150,38674.6,12518.56,0.001616628,12990,2,6495.0,13975,446,13666.2308,1,16143.1,5966.3,0.18808025
38574,140,3150,37614.55,12092.4,0.002984332,12063,5,2412.6,13980,451,13633.0769,1,19116.69231,6769.791667,0.7342179
4727,150,3150,37607.88,10463.84286,0.003303303,9990,2,4995.0,13993,457,13650.25,1,15438.38333,5650.478571,0.68481493
11955,150,3150,50362.36667,12305.48,0.000461467,13002,4,3250.5,13976,443,13683.0,1,17635.44,6997.818182,0.8377989
36918,140,3150,30028.96,12198.94,0.001751752,11988,5,2397.6,13984,459,13639.75,1,16255.04706,7022.027273,0.7232852
36582,140,3150,63894.3,9988.216667,0.000496771,12078,2,6039.0,13979,449,13633.6154,1,17027.05333,7118.881818,0.7478132
31607,145,3150,54249.425,12358.76,0.009769539,11976,5,2395.2,13976,445,13642.25,1,16287.73125,6503.441667,0.9020551
11242,150,3150,36990.54286,10501.9,0.000599341,10011,7,1430.142857,13992,470,13639.5,1,15377.32222,5654.869231,0.7592396
29266,170,3150,25854.7,10920.45714,0.000460723,13023,2,6511.5,13964,439,13634.75,1,15839.5125,8316.122222,0.44266656
9514,165,4200,30377.66667,13370.9,0.002993116,10023,3,3341.0,13971,453,13647.4286,1,17951.74,6044.161538,0.80350846
9981,150,3150,71632.16667,12465.3,0.012612613,9990,3,3330.0,13964,440,13634.0,1,16049.3375,7094.672727,0.5456914
32527,170,3150,32822.38,10578.01429,0.006273526,11955,2,5977.5,13951,443,13618.75,1,15782.11111,5959.64375,0.74665254
31114,145,3150,55878.1,11879.32,0.010997251,12003,6,2000.5,13972,448,13663.6923,1,17520.38,7361.027273,0.9186339
22937,170,3150,55994.0,13317.62857,0.002503129,11985,3,3995.0,13970,439,13640.75,1,18410.11538,6688.411111,0.6388585
3748,150,3150,35792.63333,10806.31429,0.005697151,10005,2,5002.5,13960,444,13628.5833,1,16633.48667,7511.14,0.6802651
9186,165,4200,33519.03333,15848.0,0.008674843,10029,5,2005.8,13987,456,13664.1429,1,18032.66667,6331.0,0.73075026
32081,145,3150,51200.96667,12145.68,0.003237858,12045,5,2409.0,13992,464,13644.0,1,17181.87857,7288.372727,0.8339928
19952,140,3150,30091.64,10539.94286,0.003462604,12996,5,2599.2,13954,433,13629.25,1,15373.40625,5745.614286,0.8575082
18593,150,3150,34624.32,9899.433333,0.001385042,12996,3,4332.0,13968,443,13653.1429,1,17296.44,7312.590909,0.9202887
11645,150,3150,65165.7,10210.2,0.000923361,12996,7,1856.571429,13973,440,13668.3846,1,17266.1,6792.0,0.6531142
4007,150,3150,40219.21429,9122.6,0.00480048,9999,4,2499.75,13963,443,13630.75,1,15276.14375,7511.14,0.75842196
22246,170,3150,45775.76667,11985.86,0.011292346,11955,7,1707.857143,13970,445,13636.25,1,18054.9,6925.163636,0.47925976
37416,140,3150,38952.38333,12252.22,0.002504383,11979,2,5989.5,13977,456,13663.1538,1,19316.63846,7700.009091,0.8500506
3715,150,3150,28931.3,10654.11429,0.00568692,10023,5,2004.6,13947,417,13660.0,1,15140.18947,7901.788889,0.7576374
37810,140,2650,35131.7,11909.77143,0.004244694,12015,2,6007.5,13978,467,13595.9091,1,16733.0375,7191.52,0.8636765
9705,165,4200,28119.85,10964.86667,0.001792115,10044,5,2008.8,13973,457,13631.25,1,17885.99333,5669.507143,0.82908446
23383,165,3150,43262.84,12465.28,0.011563367,12972,7,1853.142857,13981,456,13639.0,1,16707.11765,8629.82,0.4541945
11949,150,3150,69365.86667,11879.34,0.000461467,13002,2,6501.0,13955,427,13634.75,1,17546.92667,7288.381818,0.17425793
8653,165,4200,42742.96,12625.12,0.009306515,9993,3,3331.0,13937,406,13643.9091,1,17516.59333,5839.269231,0.55548215
20314,175,3150,53470.46667,12412.04,0.001750875,11994,7,1713.428571,13972,450,13629.1538,1,17185.18,7336.809091,0.6663927
28724,170,3150,37700.97143,9122.575,0.001383445,13011,7,1858.714286,13972,451,13633.75,1,17132.31765,7564.42,0.7616565
11831,150,3150,67247.0,11253.4,0.00761597,12999,8,1624.875,13986,460,13653.4545,1,16266.5125,7554.727273,0.5406257
4080,150,3150,37717.21429,10425.8,0.002398801,10005,6,1667.5,13994,458,13650.5,1,16775.12353,7058.34,0.71256536
2773,150,3150,57556.9,11985.86,0.007793765,10008,5,2001.6,13979,445,13645.25,1,16764.5,6658.825,0.5289963
39458,140,3150,39121.31429,12145.68,0.002754821,11979,6,1996.5,13975,450,13653.5714,1,18721.08462,6769.8,0.757717
20639,175,3150,45670.63333,12145.68,0.005248688,12003,4,3000.75,13972,447,13628.1538,1,17631.70667,7361.018182,0.5542087
26964,170,3150,37440.8,11072.65714,0.001617375,12984,2,6492.0,13963,494,13593.3333,1,16067.23125,5709.94375,0.62564313
20235,140,3150,41994.96667,9422.225,0.006479981,12963,4,3240.75,13938,420,13623.1538,1,15971.82778,8079.358333,0.8680843
29584,170,3150,53489.46667,13431.77143,0.002753442,11985,6,1997.5,13971,447,13635.75,1,18916.66154,6791.991667,0.6341214
17593,145,2650,34845.46667,12632.72857,0.000919118,13056,2,6528.0,13981,465,13578.4348,1,17842.44,7617.68,0.88540417
9837,165,4200,44500.04,10343.35,0.006291192,10014,3,3338.0,13985,455,13621.0,1,15196.60625,8043.85,0.56578875
13070,150,3150,40392.62857,10349.71429,0.000299133,10029,5,2005.8,13970,456,13644.2857,1,16567.6,6303.68,0.7393702
39257,170,3150,38359.7,10539.94286,0.000749064,12015,7,1716.428571,13989,473,13634.25,1,15655.6625,8552.877778,0.8346022
10749,150,3150,48728.63333,11772.78,0.008092486,12975,5,2595.0,13977,448,13641.0,1,19312.18462,7675.809091,0.40168822
